ID	Word	Lemma	POS	Features	(EverythingElse)
1	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#3.14#3.413
2	должен	должен	ADJ	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	@dib1981m-words#@dib1981m-words#3.413#3.686
3	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#3.686#3.959
4	да	да	PART	_	@dib1981m-words#@dib1981m-words#3.959#4.232
5	?	?	PUNCT	_	@dib1981m-words#@dib1981m-words#4.232#4.506
6	ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#5.028#5.34
7	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#5.34#5.652
8	ээ	ээ	INTJ	_	@dib1981m-words#@dib1981m-words#5.652#5.964
9	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#5.964#6.276
10	не	не	PART	_	@dib1981m-words#@dib1981m-words#6.276#6.588
11	хочу	хотеть	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#6.588#6.9
12	никого	никто	PRON	Case=Acc|Number=Sing	@dib1981m-words#@dib1981m-words#6.9#7.212
13	обидеть	обидеть	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#7.212#7.524
14	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#7.524#7.836
15	но	но	CCONJ	_	@dib1981m-words#@dib1981m-words#7.836#8.148
16	мне	я	PRON	Case=Dat|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#8.148#8.46
17	кажется	казаться	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	@dib1981m-words#@dib1981m-words#8.46#8.772
18	это	этот	DET	Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#8.772#9.084
19	следствие	следствие	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#9.084#9.396
20	может	мочь	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#9.396#9.708
21	каких-то	какой-то	DET	Case=Gen|Number=Plur	@dib1981m-words#@dib1981m-words#9.708#10.02
22	переживаний	переживание	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur	@dib1981m-words#@dib1981m-words#10.02#10.332
23	в	в	ADP	_	@dib1981m-words#@dib1981m-words#10.332#10.644
24	детстве	детство	NOUN	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#10.644#10.956
25	или	или	CCONJ	_	@dib1981m-words#@dib1981m-words#10.956#11.268
26	других	другой	ADJ	Case=Gen|Degree=Pos|Number=Plur	@dib1981m-words#@dib1981m-words#11.268#11.58
27	ущимлений	ущимление	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur	@dib1981m-words#@dib1981m-words#11.58#11.892
28	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#11.892#12.204
29	когда	когда	SCONJ	_	@dib1981m-words#@dib1981m-words#12.204#12.516
30	человек	человек	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#12.516#12.828
31	пытается	пытаться	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	@dib1981m-words#@dib1981m-words#12.828#13.14
32	сам	сам	ADV	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#13.14#13.452
33	себе	себя	PRON	Case=Dat	@dib1981m-words#@dib1981m-words#13.452#13.764
34	доказать	доказать	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#13.764#14.076
35	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#14.076#14.388
36	и	и	CCONJ	_	@dib1981m-words#@dib1981m-words#14.388#14.7
37	доказать	доказать	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#14.7#15.012
38	обществу	общество	NOUN	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#15.012#15.324
39	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#15.324#15.636
40	в	в	ADP	_	@dib1981m-words#@dib1981m-words#15.636#15.948
41	том	то	PRON	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#15.948#16.26
42	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#16.26#16.572
43	что	что	SCONJ	_	@dib1981m-words#@dib1981m-words#16.572#16.884
44	там	там	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#16.884#17.196
45	он	он	PRON	Case=Nom|Gender=Masc|Number=Sing|Person=3	@dib1981m-words#@dib1981m-words#17.196#17.508
46	не	не	PART	_	@dib1981m-words#@dib1981m-words#17.508#17.82
