1	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@iav1984m-words#@iav1984m#0.14#0.43
2	можешь	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@iav1984m-words#@iav1984m#0.43#0.72
3	объяснить	объяснить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@iav1984m-words#@iav1984m#0.72#1.01
4	/	/	PUNCT	_	_	_	_	_	@iav1984m-words#@iav1984m#1.01#1.3
5	эээ	эээ	INTJ	_	_	_	_	_	@iav1984m-words#@iav1984m#1.3#1.59
6	/	/	PUNCT	_	_	_	_	_	@iav1984m-words#@iav1984m#1.59#1.88
7	коротко	коротко	ADV	_	Degree=Pos	_	_	_	@iav1984m-words#@iav1984m#1.88#2.17
8	/	/	PUNCT	_	_	_	_	_	@iav1984m-words#@iav1984m#2.17#2.46
9	почему	почему	ADV	_	Degree=Pos	_	_	_	@iav1984m-words#@iav1984m#2.46#2.75
10	черный	черный	ADJ	_	Animacy=Inan|Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@iav1984m-words#@iav1984m#2.75#3.04
11	квадрат	квадрат	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@iav1984m-words#@iav1984m#3.04#3.33
12	это	этот	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	@iav1984m-words#@iav1984m#3.33#3.62
13	искусство	искусство	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@iav1984m-words#@iav1984m#3.62#3.91
14	?	?	PUNCT	_	_	_	_	_	@iav1984m-words#@iav1984m#3.91#4.21
15	смотри	смотреть	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@iav1984m-words#@iav1984m#125.06#125.36
16	/	/	PUNCT	_	_	_	_	_	@iav1984m-words#@iav1984m#125.36#125.66
17	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@iav1984m-words#@iav1984m#125.66#125.96
18	дворник	дворник	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@iav1984m-words#@iav1984m#125.96#126.26
19	да	да	PART	_	_	_	_	_	@iav1984m-words#@iav1984m#126.82#128.0
20	меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	_	_	_	@iav1984m-words#@iav1984m#128.11#128.37
21	послали	послать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@iav1984m-words#@iav1984m#128.37#128.63
22	/	/	PUNCT	_	_	_	_	_	@iav1984m-words#@iav1984m#128.63#128.89
23	за	за	ADP	_	_	_	_	_	@iav1984m-words#@iav1984m#128.89#129.15
